GKZ,name,fl_suv,indicator_code,indicator_name,indicator_desc
07332000,Bad Dürkheim,13.42,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07333000,Donnersbergkreis,11.47,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07334000,Germersheim,16.29,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07335000,Kaiserslautern,15.9,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07336000,Kusel,12.84,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07337000,Südliche Weinstraße,12.86,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07338000,Rhein-Pfalz-Kreis,22.69,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07339000,Mainz-Bingen,18.83,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07340000,Südwestpfalz,10.51,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08111000,"Stuttgart, Stadtkreis",51.77,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08115000,Böblingen,23.21,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08116000,Esslingen,25.06,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08117000,Göppingen,16.88,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08118000,Ludwigsburg,25.15,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08119000,Rems-Murr-Kreis,18.09,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08121000,"Heilbronn, Stadtkreis",36.26,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08125000,Heilbronn,17.96,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08126000,Hohenlohekreis,13.67,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08127000,Schwäbisch Hall,12.16,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08128000,Main-Tauber-Kreis,11.07,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08135000,Heidenheim,13.14,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08136000,Ostalbkreis,13.37,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08211000,"Baden-Baden, Stadtkreis",14.88,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08212000,"Karlsruhe, Stadtkreis",46.8,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08215000,Karlsruhe,18.59,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08216000,Rastatt,14.54,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08221000,"Heidelberg, Stadtkreis",30.58,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
08222000,"Mannheim, Stadtkreis",58.18,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
